epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,189.715,1.34379,1.80696,1.63408,0.67891,0.64269,0.6854,0.34245,1.74564,1.69923,1.91726,0.000583053,0.000583053,0.000583053
26,195.845,1.33371,1.8205,1.63424,0.95604,0.61349,0.7926,0.41661,1.67905,1.70782,1.83119,0.000561055,0.000561055,0.000561055
27,202.056,1.37275,1.76693,1.65389,0.79694,0.62339,0.68188,0.36324,1.61481,1.73204,1.85368,0.000539057,0.000539057,0.000539057
28,208.365,1.31037,1.69962,1.59273,0.90363,0.67246,0.81506,0.26671,1.78139,1.45796,2.01449,0.000517059,0.000517059,0.000517059
29,214.531,1.3047,1.66616,1.54843,0.80741,0.68219,0.81931,0.46413,1.64774,1.49181,1.83922,0.000495062,0.000495062,0.000495062
30,220.75,1.31366,1.6486,1.593,0.91982,0.65896,0.80356,0.42981,1.68506,1.57491,1.79035,0.000473064,0.000473064,0.000473064
31,227.026,1.26518,1.61737,1.57801,0.783,0.6957,0.76975,0.38202,1.73292,1.58959,1.97484,0.000451066,0.000451066,0.000451066
32,233.522,1.22329,1.5479,1.53123,0.47264,0.82259,0.70481,0.37863,1.69155,1.80853,1.85694,0.000429068,0.000429068,0.000429068
33,240.02,1.20503,1.5144,1.50652,0.55151,0.68596,0.67229,0.37935,1.64076,1.64151,1.78825,0.00040707,0.00040707,0.00040707
34,246.299,1.17604,1.49688,1.53017,0.92648,0.60096,0.79007,0.43882,1.77135,1.72202,1.89892,0.000385073,0.000385073,0.000385073
35,252.586,1.18207,1.44981,1.49651,0.91703,0.62419,0.79328,0.40536,1.72415,1.54985,1.82831,0.000363075,0.000363075,0.000363075
36,259.031,1.1862,1.48342,1.48988,0.91338,0.69878,0.77588,0.37322,1.68388,1.43604,1.82276,0.000341077,0.000341077,0.000341077
37,265.408,1.16234,1.41594,1.48723,0.87284,0.62466,0.78784,0.38327,1.74658,1.66455,1.87773,0.000319079,0.000319079,0.000319079
